province,total_posts_all,joy_mean_all,sadness_mean_all,anger_mean_all,fear_mean_all,surprise_mean_all,neutral_mean_all,emotional_intensity_mean,fear_variance,joy_variance
上海,390,0.24794871794871795,0.09812820512820514,0.1337179487179487,0.04361538461538462,0.07223076923076924,0.40435897435897433,0.5956410256410256,0.010288951947795137,0.09140966317315927
云南,390,0.23697435897435898,0.0782051282051282,0.08833333333333335,0.03405128205128206,0.06294871794871795,0.4994871794871795,0.5005128205128204,0.00846066574385341,0.08363555204007642
内蒙古,377,0.25384615384615383,0.07718832891246685,0.0896551724137931,0.031962864721485414,0.05384615384615385,0.49350132625994697,0.506498673740053,0.00927486031943111,0.09086947626841255
北京,426,0.23685446009389674,0.0943661971830986,0.11678403755868545,0.04037558685446009,0.06314553990610329,0.4484741784037559,0.5515258215962442,0.009965976249654796,0.08803855288594307
台湾,323,0.3523219814241486,0.08417956656346749,0.05996904024767802,0.04071207430340557,0.0603405572755418,0.4024767801857585,0.5975232198142415,0.012661913735746029,0.09913279041593763
吉林,381,0.2605249343832021,0.09107611548556431,0.08968503937007874,0.03293963254593176,0.0573490813648294,0.4684251968503937,0.5315748031496064,0.007112388451443573,0.08827077635032463
四川,390,0.2670512820512821,0.09469230769230769,0.09871794871794871,0.03679487179487179,0.07197435897435897,0.4307692307692308,0.5692307692307692,0.008546256014765018,0.08657868630940616
天津,381,0.2731496062992126,0.08687664041994751,0.11769028871391077,0.028923884514435696,0.04847769028871392,0.4448818897637795,0.5551181102362206,0.0072912073490813654,0.09997689598010773
宁夏,232,0.2681034482758621,0.07771551724137932,0.07530172413793103,0.04202586206896552,0.04633620689655173,0.49051724137931035,0.5094827586206896,0.014037869458128089,0.09830721003134794
安徽,390,0.24384615384615382,0.0883076923076923,0.10666666666666667,0.042076923076923074,0.06794871794871794,0.4511538461538461,0.5488461538461539,0.00990390152264189,0.0881625469646035
山东,390,0.2562820512820513,0.10294871794871795,0.08525641025641026,0.03807692307692308,0.051025641025641034,0.4664102564102564,0.5335897435897436,0.009500919517500499,0.09147071715773519
山西,382,0.2858638743455498,0.08586387434554973,0.08743455497382198,0.029712041884816753,0.051047120418848166,0.46007853403141363,0.5399214659685864,0.009725113712880129,0.09746368745791595
广东,415,0.25783132530120484,0.10590361445783134,0.1119277108433735,0.04662650602409639,0.06421686746987952,0.4134939759036144,0.5865060240963855,0.014843664513124962,0.09019818404050985
广西,388,0.2955412371134021,0.09657216494845361,0.1134020618556701,0.029123711340206186,0.0634278350515464,0.4019329896907216,0.5980670103092784,0.008128945896267885,0.09714001638296174
新疆,353,0.25382436260623226,0.09305949008498585,0.10651558073654391,0.03739376770538244,0.06345609065155808,0.44575070821529744,0.5542492917847026,0.012418756438320884,0.08926800315477729
江苏,390,0.26769230769230773,0.08905128205128204,0.09974358974358974,0.028846153846153848,0.06530769230769232,0.4493589743589744,0.5506410256410257,0.007604063674115095,0.08993039351394105
江西,377,0.26697612732095494,0.08978779840848806,0.10079575596816977,0.03275862068965517,0.05132625994694961,0.4583554376657825,0.5416445623342174,0.008717901687454148,0.08858072549240922
河北,390,0.2633846153846154,0.09489743589743589,0.09615384615384616,0.034256410256410255,0.046564102564102566,0.46474358974358976,0.5352564102564102,0.008637363390679583,0.09057977456990314
河南,390,0.28846153846153844,0.07882051282051282,0.07910256410256411,0.03041025641025641,0.06025641025641026,0.462948717948718,0.537051282051282,0.006412170588623026,0.09462230571485072
浙江,390,0.2702564102564103,0.09743589743589744,0.11115384615384616,0.04153846153846154,0.065,0.4146153846153846,0.5853846153846154,0.011432074352382832,0.09560404719530685
海南,358,0.2930167597765363,0.10167597765363127,0.10335195530726257,0.036731843575419,0.06005586592178771,0.40516759776536315,0.5948324022346368,0.009690409683426444,0.09185585966230067
湖北,390,0.2765384615384615,0.10461538461538461,0.11615384615384615,0.04846153846153846,0.05846153846153846,0.39576923076923076,0.6042307692307692,0.014599169468064064,0.08917179157603318
湖南,390,0.2823333333333333,0.09374358974358975,0.0957948717948718,0.030102564102564105,0.06328205128205128,0.4347435897435898,0.5652564102564102,0.007885850636082005,0.08990328191945163
澳门,139,0.25359712230215825,0.08726618705035971,0.12553956834532373,0.03899280575539568,0.06654676258992806,0.42805755395683454,0.5719424460431655,0.013471441976853292,0.0884652278177458
甘肃,381,0.264251968503937,0.07637795275590552,0.07902887139107612,0.02874015748031496,0.053385826771653544,0.49821522309711286,0.5017847769028871,0.007713671777869877,0.09117871529216744
福建,390,0.2775641025641026,0.08282051282051281,0.11602564102564103,0.03730769230769231,0.05653846153846154,0.4297435897435897,0.5702564102564103,0.009600701997231564,0.0950544624612748
西藏,144,0.2932638888888889,0.08805555555555555,0.11458333333333333,0.025347222222222226,0.06833333333333333,0.41041666666666665,0.5895833333333333,0.005104773698523698,0.0956738879176379
贵州,373,0.26710455764075064,0.07836461126005362,0.07962466487935657,0.03150134048257373,0.06123324396782842,0.482171581769437,0.517828418230563,0.0087966646487359,0.08294159387702152
辽宁,390,0.24371794871794872,0.10615384615384615,0.11043589743589743,0.03569230769230769,0.064,0.44,0.56,0.008029725133478343,0.08381981741480454
重庆,384,0.30716145833333336,0.09088541666666666,0.10794270833333335,0.027994791666666668,0.06700520833333333,0.39901041666666665,0.6009895833333334,0.006322600494995647,0.09649557699630104
陕西,390,0.23658974358974358,0.10474358974358974,0.10794871794871795,0.03435897435897436,0.06141025641025641,0.45494871794871794,0.5450512820512821,0.009507428646760272,0.08525132225957419
青海,138,0.3010144927536232,0.07818840579710146,0.10963768115942028,0.02043478260869565,0.04746376811594203,0.44326086956521743,0.5567391304347826,0.0028655030149159003,0.09179896329207657
香港,364,0.27032967032967037,0.0848901098901099,0.09697802197802197,0.03214285714285715,0.057005494505494504,0.45865384615384613,0.5413461538461538,0.008041125541125531,0.09459934005388548
黑龙江,377,0.26312997347480105,0.0927055702917772,0.1006631299734748,0.029177718832891247,0.05755968169761273,0.45676392572944297,0.5432360742705571,0.006340545459676057,0.08992687933856298
